filename,processed_at
../storage/app/private/issues/SPARK/SPARK-34722.json,2025-11-12 00:21:33
../storage/app/private/issues/SPARK/SPARK-4542.json,2025-11-12 00:21:34
../storage/app/private/issues/SPARK/SPARK-30449.json,2025-11-12 00:21:35
../storage/app/private/issues/SPARK/SPARK-38756.json,2025-11-12 00:21:41
../storage/app/private/issues/SPARK/SPARK-6535.json,2025-11-12 00:21:42
../storage/app/private/issues/SPARK/SPARK-39489.json,2025-11-12 00:23:05
../storage/app/private/issues/SPARK/SPARK-35654.json,2025-11-12 00:23:08
../storage/app/private/issues/SPARK/SPARK-27582.json,2025-11-12 00:23:09
../storage/app/private/issues/SPARK/SPARK-40167.json,2025-11-12 00:23:17
../storage/app/private/issues/SPARK/SPARK-19913.json,2025-11-12 00:23:28
../storage/app/private/issues/SPARK/SPARK-23798.json,2025-11-12 00:23:41
../storage/app/private/issues/SPARK/SPARK-2568.json,2025-11-12 00:24:18
../storage/app/private/issues/SPARK/SPARK-46567.json,2025-11-12 00:24:21
../storage/app/private/issues/SPARK/SPARK-48488.json,2025-11-12 00:24:23
../storage/app/private/issues/SPARK/SPARK-44832.json,2025-11-12 00:24:41
../storage/app/private/issues/SPARK/SPARK-50829.json,2025-11-12 00:24:49
../storage/app/private/issues/SPARK/SPARK-17313.json,2025-11-12 00:26:10
../storage/app/private/issues/SPARK/SPARK-9816.json,2025-11-12 00:26:17
../storage/app/private/issues/SPARK/SPARK-7828.json,2025-11-12 00:26:19
../storage/app/private/issues/SPARK/SPARK-12113.json,2025-11-12 00:26:24
../storage/app/private/issues/SPARK/SPARK-13481.json,2025-11-12 00:26:28
../storage/app/private/issues/SPARK/SPARK-13620.json,2025-11-12 00:27:58
../storage/app/private/issues/SPARK/SPARK-16342.json,2025-11-12 00:29:00
../storage/app/private/issues/SPARK/SPARK-21825.json,2025-11-12 00:29:02
../storage/app/private/issues/SPARK/SPARK-2885.json,2025-11-12 00:30:38
../storage/app/private/issues/SPARK/SPARK-24962.json,2025-11-12 00:31:42
../storage/app/private/issues/SPARK/SPARK-5148.json,2025-11-12 00:31:53
../storage/app/private/issues/SPARK/SPARK-23957.json,2025-11-12 00:32:02
../storage/app/private/issues/SPARK/SPARK-27016.json,2025-11-12 00:32:05
../storage/app/private/issues/SPARK/SPARK-15789.json,2025-11-12 00:32:13
